Airline,FlightNum,PlanTime,ActualTime,Direction,Airport,City,Country,Terminal,Status
U8,1456,2024-03-12 10:00:00,2024-03-12 10:16:00,D,VNO,VILNIUS,LITHUANIA,3,DEPARTED
AM,7868,2024-03-12 10:20:00,2024-03-12 10:29:00,A,JFK,NEW YORK,UNITED STATES,3,LANDED
AR,7852,2024-03-12 10:20:00,2024-03-12 10:29:00,A,JFK,NEW YORK,UNITED STATES,3,LANDED
B6,6450,2024-03-12 10:20:00,2024-03-12 10:29:00,A,JFK,NEW YORK,UNITED STATES,3,LANDED
DL,7425,2024-03-12 10:20:00,2024-03-12 10:29:00,A,JFK,NEW YORK,UNITED STATES,3,LANDED
LY,002,2024-03-12 10:20:00,2024-03-12 10:29:00,A,JFK,NEW YORK,UNITED STATES,3,LANDED
LY,5142,2024-03-12 10:20:00,2024-03-12 10:32:00,A,LCA,LARNACA,CYPRUS,3,LANDED
DN,903,2024-03-12 10:00:00,2024-03-12 10:51:00,D,GYD,BAKU,AZERBAIJAN,3,DEPARTED
UA,085,2024-03-12 10:30:00,2024-03-12 10:53:00,D,EWR,NEWARK,UNITED STATES,3,DEPARTED
LY,003,2024-03-12 08:50:00,2024-03-12 11:10:00,D,JFK,NEW YORK,UNITED STATES,3,DEPARTED
WZ,015,2024-03-12 11:25:00,2024-03-12 11:14:00,A,DME,MOSCOW,RUSSIAN FEDERATION,3,LANDED
LY,973,2024-03-12 10:45:00,2024-03-12 11:16:00,D,DXB,DUBAI,UNITED ARAB EMIRATES,3,DEPARTED
EK,2451,2024-03-12 10:45:00,2024-03-12 11:19:00,D,DXB,DUBAI,UNITED ARAB EMIRATES,3,DEPARTED
FZ,1082,2024-03-12 10:45:00,2024-03-12 11:19:00,D,DXB,DUBAI,UNITED ARAB EMIRATES,3,DEPARTED
IZ,413,2024-03-12 11:10:00,2024-03-12 11:20:00,D,BUS,BATUMI,GEORGIA,3,DEPARTED
HU,743,2024-03-12 10:40:00,2024-03-12 11:28:00,A,SZX,SHENZHEN,CHINA,3,LANDED
W4,8395,2024-03-12 11:10:00,2024-03-12 11:34:00,A,FCO,ROME,ITALY,3,LANDED
A3,926,2024-03-12 12:00:00,2024-03-12 11:55:00,A,ATH,ATHENS,GREECE,3,LANDED
JU,7620,2024-03-12 12:00:00,2024-03-12 11:55:00,A,ATH,ATHENS,GREECE,3,LANDED
LX,254,2024-03-12 11:55:00,2024-03-12 11:58:00,A,ZRH,ZURICH,SWITZERLAND,3,LANDED
6H,563,2024-03-12 11:45:00,2024-03-12 11:59:00,D,ATH,ATHENS,GREECE,3,DEPARTED
EK,2363,2024-03-12 11:55:00,2024-03-12 12:01:00,A,DXB,DUBAI,UNITED ARAB EMIRATES,3,LANDED
FZ,1211,2024-03-12 11:55:00,2024-03-12 12:01:00,A,DXB,DUBAI,UNITED ARAB EMIRATES,3,LANDED
LY,5101,2024-03-12 11:40:00,2024-03-12 12:02:00,D,WAW,WARSAW,POLAND,3,DEPARTED
IZ,808,2024-03-12 12:05:00,2024-03-12 12:04:00,A,ETM,RAMON,ISRAEL,3,LANDED
6H,047,2024-03-12 11:45:00,2024-03-12 12:13:00,D,ETM,RAMON,ISRAEL,3,DEPARTED
A4,5026,2024-03-12 12:05:00,2024-03-12 12:14:00,D,AER,SOCHI,RUSSIAN FEDERATION,3,DEPARTED
LY,5130,2024-03-12 12:30:00,2024-03-12 12:45:00,A,RMO,CHISINAU,MOLDOVA,3,LANDED
