CHOPER,CHFLTN,CHOPERD,CHSTOL,CHPTOL,CHAORD,CHLOC1,CHLOC1D,CHLOC1TH,CHLOC1T,CHLOC1CH,CHLOCCT,CHTERM,CHCINT,CHCKZN,CHRMINE,CHRMINH
6H,662,ISRAIR AIRLINES,2024-03-12T15:50:00,2024-03-12T15:50:00,A,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,,,NOT FINAL,לא סופי
LY,346,EL AL ISRAEL AIRLINES,2024-03-12T16:00:00,2024-03-12T16:00:00,A,GVA,GENEVA,ז'נבה,GENEVA,שוויץ,SWITZERLAND,3,,,NOT FINAL,לא סופי
LY,382,EL AL ISRAEL AIRLINES,2024-03-12T16:00:00,2024-03-12T16:00:00,A,MXP,MILAN-MALPENSA,מילאנו,MILAN,איטליה,ITALY,3,,,NOT FINAL,לא סופי
SK,3184,SAS,2024-03-12T16:00:00,2024-03-12T16:00:00,A,MXP,MILAN-MALPENSA,מילאנו,MILAN,איטליה,ITALY,3,,,NOT FINAL,לא סופי
AM,7851,AERO MEXICO,2024-03-12T16:10:00,2024-03-12T16:10:00,D,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,,,ON TIME,בזמן
LY,339,EL AL ISRAEL AIRLINES,2024-03-12T16:10:00,2024-03-12T16:10:00,D,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,,,ON TIME,בזמן
SK,3151,SAS,2024-03-12T16:10:00,2024-03-12T16:10:00,D,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,,,ON TIME,בזמן
6H,891,ISRAIR AIRLINES,2024-03-12T16:10:00,2024-03-12T16:10:00,D,TBS,TBILISI,טביליסי,TBILISI,גיאורגיה,GEORGIA,3,,,ON TIME,בזמן
LY,363,EL AL ISRAEL AIRLINES,2024-03-12T16:15:00,2024-03-12T16:15:00,D,VIE,VIENNA,וינה,VIENNA,אוסטריה,AUSTRIA,3,,,ON TIME,בזמן
IZ,821,ARKIA  ISRAELI  AIRLINES,2024-03-12T16:30:00,2024-03-12T16:30:00,D,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,3,,,ON TIME,בזמן
W6,4428,WIZZAIR,2024-03-12T16:30:00,2024-03-12T16:30:00,D,SOF,SOFIA,סופיה,SOFIA,בולגריה,BULGARIA,3,,,ON TIME,בזמן
IB,2393,IBERIA,2024-03-12T16:35:00,2024-03-12T16:35:00,A,BCN,BARCELONA,ברצלונה,BARCELONA,ספרד,SPAIN,3,,,NOT FINAL,לא סופי
LY,394,EL AL ISRAEL AIRLINES,2024-03-12T16:35:00,2024-03-12T16:35:00,A,BCN,BARCELONA,ברצלונה,BARCELONA,ספרד,SPAIN,3,,,NOT FINAL,לא סופי
AA,9258,AMERICAN AIRLINES,2024-03-12T16:40:00,2024-03-12T16:40:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,NOT FINAL,לא סופי
LY,320,EL AL ISRAEL AIRLINES,2024-03-12T16:40:00,2024-03-12T16:40:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,NOT FINAL,לא סופי
AM,7853,AERO MEXICO,2024-03-12T16:50:00,2024-03-12T16:50:00,D,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,ON TIME,בזמן
LY,325,EL AL ISRAEL AIRLINES,2024-03-12T16:50:00,2024-03-12T16:50:00,D,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,ON TIME,בזמן
LY,338,EL AL ISRAEL AIRLINES,2024-03-12T16:50:00,2024-03-12T16:50:00,A,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,,,NOT FINAL,לא סופי
SK,3150,SAS,2024-03-12T16:50:00,2024-03-12T16:50:00,A,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,,,NOT FINAL,לא סופי
6H,727,ISRAIR AIRLINES,2024-03-12T16:50:00,2024-03-12T16:50:00,D,BUD,BUDAPEST,בודפשט,BUDAPEST,הונגריה,HUNGARY,3,,,ON TIME,בזמן
IZ,414,ARKIA  ISRAELI  AIRLINES,2024-03-12T17:00:00,2024-03-12T17:00:00,A,BUS,BATUMI,בטומי,BATUMI,גיאורגיה,GEORGIA,3,,,NOT FINAL,לא סופי
LO,154,LOT POLISH AIRLINES,2024-03-12T17:00:00,2024-03-12T17:00:00,D,WAW,WARSAW,ורשה,WARSAW,פולין,POLAND,3,,,ON TIME,בזמן
6H,564,ISRAIR AIRLINES,2024-03-12T17:00:00,2024-03-12T17:00:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,,,NOT FINAL,לא סופי
LY,348,EL AL ISRAEL AIRLINES,2024-03-12T17:05:00,2024-03-12T17:05:00,A,ZRH,ZURICH,ציריך,ZURICH,שוויץ,SWITZERLAND,3,,,NOT FINAL,לא סופי
SK,3188,SAS,2024-03-12T17:05:00,2024-03-12T17:05:00,A,ZRH,ZURICH,ציריך,ZURICH,שוויץ,SWITZERLAND,3,,,NOT FINAL,לא סופי
AM,7877,AERO MEXICO,2024-03-12T17:15:00,2024-03-12T17:15:00,D,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,,,ON TIME,בזמן
LY,317,EL AL ISRAEL AIRLINES,2024-03-12T17:15:00,2024-03-12T17:15:00,D,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,,,ON TIME,בזמן
LY,083,EL AL ISRAEL AIRLINES,2024-03-12T17:25:00,2024-03-12T17:25:00,D,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,,,ON TIME,בזמן
QF,5018,QANTAS AIRWAYS,2024-03-12T17:25:00,2024-03-12T17:25:00,D,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,,,ON TIME,בזמן
TG,4586,THAI AIRWAYS,2024-03-12T17:25:00,2024-03-12T17:25:00,D,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,,,ON TIME,בזמן
AA,387,AMERICAN AIRLINES,2024-03-12T17:30:00,2024-03-12T17:30:00,A,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,,,NOT FINAL,לא סופי
AR,7874,AEROLINEAS ARGENTINAS S.A.,2024-03-12T17:30:00,2024-03-12T17:30:00,A,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,,,NOT FINAL,לא סופי
LY,384,EL AL ISRAEL AIRLINES,2024-03-12T17:30:00,2024-03-12T17:30:00,A,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,,,NOT FINAL,לא סופי
LY,5109,EL AL ISRAEL AIRLINES,2024-03-12T17:30:00,2024-03-12T17:30:00,D,TBS,TBILISI,טביליסי,TBILISI,גיאורגיה,GEORGIA,3,,,ON TIME,בזמן
SK,3166,SAS,2024-03-12T17:30:00,2024-03-12T17:30:00,A,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,,,NOT FINAL,לא סופי
TP,8897,AIR PORTUGAL,2024-03-12T17:30:00,2024-03-12T17:30:00,A,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,,,NOT FINAL,לא סופי
LY,2523,EL AL ISRAEL AIRLINES,2024-03-12T17:45:00,2024-03-12T17:45:00,D,PRG,PRAGUE-RUZYNE,פראג,PRAGUE,צ'כיה,CZECH REPUBLIC,3,,,ON TIME,בזמן
AA,9266,AMERICAN AIRLINES,2024-03-12T17:50:00,2024-03-12T17:50:00,A,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,,,NOT FINAL,לא סופי
AM,7859,AERO MEXICO,2024-03-12T17:50:00,2024-03-12T17:50:00,A,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,,,NOT FINAL,לא סופי
AR,7872,AEROLINEAS ARGENTINAS S.A.,2024-03-12T17:50:00,2024-03-12T17:50:00,A,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,,,NOT FINAL,לא סופי
IB,2395,IBERIA,2024-03-12T17:50:00,2024-03-12T17:50:00,A,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,,,NOT FINAL,לא סופי
IZ,211,ARKIA  ISRAELI  AIRLINES,2024-03-12T17:50:00,2024-03-12T17:50:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,,,ON TIME,בזמן
LY,396,EL AL ISRAEL AIRLINES,2024-03-12T17:50:00,2024-03-12T17:50:00,A,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,,,NOT FINAL,לא סופי
LY,571,EL AL ISRAEL AIRLINES,2024-03-12T17:50:00,2024-03-12T17:50:00,D,OTP,BUCHAREST - OTOPENI,בוקרשט,BUCHAREST,רומניה,ROMANIA,3,,,ON TIME,בזמן
A3,924,AEGEAN  AIRLINES,2024-03-12T18:00:00,2024-03-12T18:00:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,,,NOT FINAL,לא סופי
A4,5023,AZIMUTH AIRLINES,2024-03-12T18:00:00,2024-03-12T18:00:00,A,AER,SOCHI,סוצ'י,SOCHI,רוסיה,RUSSIAN FEDERATION,3,,,NOT FINAL,לא סופי
6H,045,ISRAIR AIRLINES,2024-03-12T18:00:00,2024-03-12T18:00:00,D,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,3,,,ON TIME,בזמן
A3,925,AEGEAN  AIRLINES,2024-03-12T18:50:00,2024-03-12T18:50:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,,,ON TIME,בזמן
A4,5024,AZIMUTH AIRLINES,2024-03-12T18:55:00,2024-03-12T18:55:00,D,AER,SOCHI,סוצ'י,SOCHI,רוסיה,RUSSIAN FEDERATION,3,,,ON TIME,בזמן
IZ,822,ARKIA  ISRAELI  AIRLINES,2024-03-12T18:55:00,2024-03-12T18:55:00,A,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,3,,,NOT FINAL,לא סופי
AI,139,AIR INDIA,2024-03-12T19:25:00,2024-03-12T19:25:00,A,DEL,DELHI,דלהי,NEW DELHI,הודו,INDIA,3,,,NOT FINAL,לא סופי
IZ,827,ARKIA  ISRAELI  AIRLINES,2024-03-12T19:40:00,2024-03-12T19:40:00,D,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,3,,,ON TIME,בזמן
LY,2367,EL AL ISRAEL AIRLINES,2024-03-12T19:50:00,2024-03-12T19:50:00,D,BUD,BUDAPEST,בודפשט,BUDAPEST,הונגריה,HUNGARY,3,,,ON TIME,בזמן
AA,9259,AMERICAN AIRLINES,2024-03-12T20:00:00,2024-03-12T20:00:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,NOT FINAL,לא סופי
AM,7862,AERO MEXICO,2024-03-12T20:00:00,2024-03-12T20:00:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,NOT FINAL,לא סופי
LY,324,EL AL ISRAEL AIRLINES,2024-03-12T20:00:00,2024-03-12T20:00:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,NOT FINAL,לא סופי
LY,5133,EL AL ISRAEL AIRLINES,2024-03-12T20:00:00,2024-03-12T20:00:00,D,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,,,ON TIME,בזמן
LY,974,EL AL ISRAEL AIRLINES,2024-03-12T20:00:00,2024-03-12T20:00:00,A,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,,,NOT FINAL,לא סופי
SK,3160,SAS,2024-03-12T20:00:00,2024-03-12T20:00:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,NOT FINAL,לא סופי
LY,081,EL AL ISRAEL AIRLINES,2024-03-12T20:05:00,2024-03-12T20:05:00,D,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,,,ON TIME,בזמן
QF,5020,QANTAS AIRWAYS,2024-03-12T20:05:00,2024-03-12T20:05:00,D,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,,,ON TIME,בזמן
TG,4584,THAI AIRWAYS,2024-03-12T20:05:00,2024-03-12T20:05:00,D,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,,,ON TIME,בזמן
VN,3298,VIETNAM AIRLINES,2024-03-12T20:05:00,2024-03-12T20:05:00,D,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,,,ON TIME,בזמן
LY,543,EL AL ISRAEL AIRLINES,2024-03-12T20:15:00,2024-03-12T20:15:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,,,ON TIME,בזמן
LY,5102,EL AL ISRAEL AIRLINES,2024-03-12T20:20:00,2024-03-12T20:20:00,A,WAW,WARSAW,ורשה,WARSAW,פולין,POLAND,3,,,NOT FINAL,לא סופי
LY,5108,EL AL ISRAEL AIRLINES,2024-03-12T20:20:00,2024-03-12T20:20:00,A,TBS,TBILISI,טביליסי,TBILISI,גיאורגיה,GEORGIA,3,,,NOT FINAL,לא סופי
6H,046,ISRAIR AIRLINES,2024-03-12T20:30:00,2024-03-12T20:30:00,A,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,3,,,NOT FINAL,לא סופי
6H,562,ISRAIR AIRLINES,2024-03-12T20:30:00,2024-03-12T20:30:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,,,NOT FINAL,לא סופי
LY,612,EL AL ISRAEL AIRLINES,2024-03-12T20:55:00,2024-03-12T20:55:00,A,DME,MOSCOW-DOMODEDOVO,מוסקבה,MOSCOW,רוסיה,RUSSIAN FEDERATION,3,,,NOT FINAL,לא סופי
S7,4483,SIBERIA AIRLINES,2024-03-12T20:55:00,2024-03-12T20:55:00,A,DME,MOSCOW-DOMODEDOVO,מוסקבה,MOSCOW,רוסיה,RUSSIAN FEDERATION,3,,,NOT FINAL,לא סופי
AA,9260,AMERICAN AIRLINES,2024-03-12T21:05:00,2024-03-12T21:05:00,A,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,,,NOT FINAL,לא סופי
LY,316,EL AL ISRAEL AIRLINES,2024-03-12T21:05:00,2024-03-12T21:05:00,A,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,,,NOT FINAL,לא סופי
AI,140,AIR INDIA,2024-03-12T21:10:00,2024-03-12T21:10:00,D,DEL,DELHI,דלהי,NEW DELHI,הודו,INDIA,3,,,ON TIME,בזמן
6H,585,ISRAIR AIRLINES,2024-03-12T21:35:00,2024-03-12T21:35:00,D,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,,,ON TIME,בזמן
IZ,828,ARKIA  ISRAELI  AIRLINES,2024-03-12T21:45:00,2024-03-12T21:45:00,A,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,3,,,NOT FINAL,לא סופי
LY,088,EL AL ISRAEL AIRLINES,2024-03-12T22:05:00,2024-03-12T22:05:00,A,HKT,PHUKET,פוקט,PHUKET,תאילנד,THAILAND,3,,,NOT FINAL,לא סופי
LY,092,EL AL ISRAEL AIRLINES,2024-03-12T22:05:00,2024-03-12T22:05:00,A,NRT,TOKYO INTL.-NARITA,טוקיו,TOKYO,יפן,JAPAN,3,,,NOT FINAL,לא סופי
6H,892,ISRAIR AIRLINES,2024-03-12T22:25:00,2024-03-12T22:25:00,A,TBS,TBILISI,טביליסי,TBILISI,גיאורגיה,GEORGIA,3,,,NOT FINAL,לא סופי
IZ,282,ARKIA  ISRAELI  AIRLINES,2024-03-12T22:45:00,2024-03-12T22:45:00,A,PRG,PRAGUE-RUZYNE,פראג,PRAGUE,צ'כיה,CZECH REPUBLIC,3,,,NOT FINAL,לא סופי
IZ,212,ARKIA  ISRAELI  AIRLINES,2024-03-12T22:55:00,2024-03-12T22:55:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,,,NOT FINAL,לא סופי
H7,457,HISKY,2024-03-12T23:00:00,2024-03-12T23:00:00,A,RMO,CHISINAU,קישינב,CHISINAU,מולדוביה,MOLDOVA,3,,,NOT FINAL,לא סופי
LY,5134,EL AL ISRAEL AIRLINES,2024-03-12T23:10:00,2024-03-12T23:10:00,A,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,,,NOT FINAL,לא סופי
LY,5110,EL AL ISRAEL AIRLINES,2024-03-12T23:50:00,2024-03-12T23:50:00,A,TBS,TBILISI,טביליסי,TBILISI,גיאורגיה,GEORGIA,3,,,NOT FINAL,לא סופי
H7,458,HISKY,2024-03-13T00:00:00,2024-03-13T00:00:00,D,RMO,CHISINAU,קישינב,CHISINAU,מולדוביה,MOLDOVA,3,,,ON TIME,בזמן
B6,6481,JETBLUE AIRWAYS CORPORATION,2024-03-13T00:05:00,2024-03-13T00:05:00,D,EWR,NEW YORK - NEWARK,ניוארק,NEWARK,ארצות הברית,UNITED STATES,3,,,ON TIME,בזמן
DL,7441,DELTA AIRLINES,2024-03-13T00:05:00,2024-03-13T00:05:00,D,EWR,NEW YORK - NEWARK,ניוארק,NEWARK,ארצות הברית,UNITED STATES,3,,,ON TIME,בזמן
LY,025,EL AL ISRAEL AIRLINES,2024-03-13T00:05:00,2024-03-13T00:05:00,D,EWR,NEW YORK - NEWARK,ניוארק,NEWARK,ארצות הברית,UNITED STATES,3,,,ON TIME,בזמן
LY,328,EL AL ISRAEL AIRLINES,2024-03-13T00:10:00,2024-03-13T00:10:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,NOT FINAL,לא סופי
SK,3162,SAS,2024-03-13T00:10:00,2024-03-13T00:10:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,NOT FINAL,לא סופי
LY,572,EL AL ISRAEL AIRLINES,2024-03-13T00:20:00,2024-03-13T00:20:00,A,OTP,BUCHAREST - OTOPENI,בוקרשט,BUCHAREST,רומניה,ROMANIA,3,,,NOT FINAL,לא סופי
6H,728,ISRAIR AIRLINES,2024-03-13T00:30:00,2024-03-13T00:30:00,A,BUD,BUDAPEST,בודפשט,BUDAPEST,הונגריה,HUNGARY,3,,,NOT FINAL,לא סופי
ET,404,ETHIOPIAN AIRLINES,2024-03-13T00:35:00,2024-03-13T00:35:00,A,ADD,ADDIS ABABA,אדיס אבבה,ADDIS ABABA,אתיופיה,ETHIOPIA,3,,,NOT FINAL,לא סופי
LY,356,EL AL ISRAEL AIRLINES,2024-03-13T00:35:00,2024-03-13T00:35:00,A,FRA,FRANKFURT,פרנקפורט,FRANKFURT,גרמניה,GERMANY,3,,,NOT FINAL,לא סופי
LY,364,EL AL ISRAEL AIRLINES,2024-03-13T00:35:00,2024-03-13T00:35:00,A,VIE,VIENNA,וינה,VIENNA,אוסטריה,AUSTRIA,3,,,NOT FINAL,לא סופי
LY,8804,EL AL ISRAEL AIRLINES,2024-03-13T00:35:00,2024-03-13T00:35:00,A,ADD,ADDIS ABABA,אדיס אבבה,ADDIS ABABA,אתיופיה,ETHIOPIA,3,,,NOT FINAL,לא סופי
AM,7869,AERO MEXICO,2024-03-13T00:45:00,2024-03-13T00:45:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,,,ON TIME,בזמן
AM,7875,AERO MEXICO,2024-03-13T00:45:00,2024-03-13T00:45:00,D,LAX,LOS ANGELES,לוס אנג'לס,LOS ANGELES,ארצות הברית,UNITED STATES,3,,,ON TIME,בזמן
AR,7853,AEROLINEAS ARGENTINAS S.A.,2024-03-13T00:45:00,2024-03-13T00:45:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,,,ON TIME,בזמן
B6,6451,JETBLUE AIRWAYS CORPORATION,2024-03-13T00:45:00,2024-03-13T00:45:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,,,ON TIME,בזמן
B6,6461,JETBLUE AIRWAYS CORPORATION,2024-03-13T00:45:00,2024-03-13T00:45:00,D,LAX,LOS ANGELES,לוס אנג'לס,LOS ANGELES,ארצות הברית,UNITED STATES,3,,,ON TIME,בזמן
DL,7424,DELTA AIRLINES,2024-03-13T00:45:00,2024-03-13T00:45:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,,,ON TIME,בזמן
DL,7428,DELTA AIRLINES,2024-03-13T00:45:00,2024-03-13T00:45:00,D,LAX,LOS ANGELES,לוס אנג'לס,LOS ANGELES,ארצות הברית,UNITED STATES,3,,,ON TIME,בזמן
LY,001,EL AL ISRAEL AIRLINES,2024-03-13T00:45:00,2024-03-13T00:45:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,,,ON TIME,בזמן
LY,005,EL AL ISRAEL AIRLINES,2024-03-13T00:45:00,2024-03-13T00:45:00,D,LAX,LOS ANGELES,לוס אנג'לס,LOS ANGELES,ארצות הברית,UNITED STATES,3,,,ON TIME,בזמן
6H,586,ISRAIR AIRLINES,2024-03-13T00:45:00,2024-03-13T00:45:00,A,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,,,NOT FINAL,לא סופי
LY,388,EL AL ISRAEL AIRLINES,2024-03-13T00:55:00,2024-03-13T00:55:00,A,MXP,MILAN-MALPENSA,מילאנו,MILAN,איטליה,ITALY,3,,,NOT FINAL,לא סופי
SK,3180,SAS,2024-03-13T00:55:00,2024-03-13T00:55:00,A,MXP,MILAN-MALPENSA,מילאנו,MILAN,איטליה,ITALY,3,,,NOT FINAL,לא סופי
TP,8901,AIR PORTUGAL,2024-03-13T00:55:00,2024-03-13T00:55:00,A,MXP,MILAN-MALPENSA,מילאנו,MILAN,איטליה,ITALY,3,,,NOT FINAL,לא סופי
AR,7851,AEROLINEAS ARGENTINAS S.A.,2024-03-13T01:00:00,2024-03-13T01:00:00,D,MIA,MIAMI INTERNATIONAL,מיאמי,MIAMI,ארצות הברית,UNITED STATES,3,,,ON TIME,בזמן
B6,6467,JETBLUE AIRWAYS CORPORATION,2024-03-13T01:00:00,2024-03-13T01:00:00,D,MIA,MIAMI INTERNATIONAL,מיאמי,MIAMI,ארצות הברית,UNITED STATES,3,,,ON TIME,בזמן
B6,6483,JETBLUE AIRWAYS CORPORATION,2024-03-13T01:00:00,2024-03-13T01:00:00,D,EWR,NEW YORK - NEWARK,ניוארק,NEWARK,ארצות הברית,UNITED STATES,3,,,ON TIME,בזמן
DL,7437,DELTA AIRLINES,2024-03-13T01:00:00,2024-03-13T01:00:00,D,MIA,MIAMI INTERNATIONAL,מיאמי,MIAMI,ארצות הברית,UNITED STATES,3,,,ON TIME,בזמן
DL,7443,DELTA AIRLINES,2024-03-13T01:00:00,2024-03-13T01:00:00,D,EWR,NEW YORK - NEWARK,ניוארק,NEWARK,ארצות הברית,UNITED STATES,3,,,ON TIME,בזמן
LY,017,EL AL ISRAEL AIRLINES,2024-03-13T01:00:00,2024-03-13T01:00:00,D,MIA,MIAMI INTERNATIONAL,מיאמי,MIAMI,ארצות הברית,UNITED STATES,3,,,ON TIME,בזמן
LY,027,EL AL ISRAEL AIRLINES,2024-03-13T01:00:00,2024-03-13T01:00:00,D,EWR,NEW YORK - NEWARK,ניוארק,NEWARK,ארצות הברית,UNITED STATES,3,,,ON TIME,בזמן
BZ,701,BLUE BIRD AIRWAYS,2024-03-13T01:20:00,2024-03-13T01:20:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,,,NOT FINAL,לא סופי
ET,405,ETHIOPIAN AIRLINES,2024-03-13T01:30:00,2024-03-13T01:30:00,D,ADD,ADDIS ABABA,אדיס אבבה,ADDIS ABABA,אתיופיה,ETHIOPIA,3,,,ON TIME,בזמן
LY,544,EL AL ISRAEL AIRLINES,2024-03-13T01:30:00,2024-03-13T01:30:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,,,NOT FINAL,לא סופי
LY,8807,EL AL ISRAEL AIRLINES,2024-03-13T01:30:00,2024-03-13T01:30:00,D,ADD,ADDIS ABABA,אדיס אבבה,ADDIS ABABA,אתיופיה,ETHIOPIA,3,,,ON TIME,בזמן
LY,376,EL AL ISRAEL AIRLINES,2024-03-13T02:30:00,2024-03-13T02:30:00,A,LIS,LISBON,ליסבון,LISBON,פורטוגל,PORTUGAL,3,,,NOT FINAL,לא סופי
TP,8913,AIR PORTUGAL,2024-03-13T02:30:00,2024-03-13T02:30:00,A,LIS,LISBON,ליסבון,LISBON,פורטוגל,PORTUGAL,3,,,NOT FINAL,לא סופי
LY,2524,EL AL ISRAEL AIRLINES,2024-03-13T02:45:00,2024-03-13T02:45:00,A,PRG,PRAGUE-RUZYNE,פראג,PRAGUE,צ'כיה,CZECH REPUBLIC,3,,,NOT FINAL,לא סופי
AM,7850,AERO MEXICO,2024-03-13T02:55:00,2024-03-13T02:55:00,A,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,,,NOT FINAL,לא סופי
LY,336,EL AL ISRAEL AIRLINES,2024-03-13T02:55:00,2024-03-13T02:55:00,A,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,,,NOT FINAL,לא סופי
SK,3152,SAS,2024-03-13T02:55:00,2024-03-13T02:55:00,A,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,,,NOT FINAL,לא סופי
A3,928,AEGEAN  AIRLINES,2024-03-13T03:00:00,2024-03-13T03:00:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,,,NOT FINAL,לא סופי
FB,1528,BULGARIA  AIR,2024-03-13T03:00:00,2024-03-13T03:00:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,,,NOT FINAL,לא סופי
LY,3010,EL AL ISRAEL AIRLINES,2024-03-13T03:20:00,2024-03-13T03:20:00,A,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,,,NOT FINAL,לא סופי
OS,859,AUSTRIAN AIRLINES,2024-03-13T03:35:00,2024-03-13T03:35:00,A,VIE,VIENNA,וינה,VIENNA,אוסטריה,AUSTRIA,3,,,NOT FINAL,לא סופי
LY,2360,EL AL ISRAEL AIRLINES,2024-03-13T03:40:00,2024-03-13T03:40:00,A,BUD,BUDAPEST,בודפשט,BUDAPEST,הונגריה,HUNGARY,3,,,NOT FINAL,לא סופי
LO,151,LOT POLISH AIRLINES,2024-03-13T03:45:00,2024-03-13T03:45:00,A,WAW,WARSAW,ורשה,WARSAW,פולין,POLAND,3,,,NOT FINAL,לא סופי
LY,9256,EL AL ISRAEL AIRLINES,2024-03-13T03:45:00,2024-03-13T03:45:00,A,WAW,WARSAW,ורשה,WARSAW,פולין,POLAND,3,,,NOT FINAL,לא סופי
