CHOPER,CHFLTN,CHOPERD,CHSTOL,CHPTOL,CHAORD,CHLOC1,CHLOC1D,CHLOC1TH,CHLOC1T,CHLOC1CH,CHLOCCT,CHTERM,CHRMINE,CHRMINH
SK,3190,SAS,2024-03-18T02:10:00,2024-03-18T02:10:00,A,ZRH,ZURICH,ציריך,ZURICH,שוויץ,SWITZERLAND,3,NOT FINAL,לא סופי
AR,7878,AEROLINEAS ARGENTINAS S.A.,2024-03-18T02:15:00,2024-03-18T02:15:00,A,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,NOT FINAL,לא סופי
LY,284,EL AL ISRAEL AIRLINES,2024-03-18T02:15:00,2024-03-18T02:15:00,A,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,NOT FINAL,לא סופי
TP,8939,AIR PORTUGAL,2024-03-18T02:15:00,2024-03-18T02:15:00,A,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,NOT FINAL,לא סופי
LY,2374,EL AL ISRAEL AIRLINES,2024-03-18T02:20:00,2024-03-18T02:20:00,A,BER,BERLIN BRANDENBURG INTL,ברלין,BERLIN,גרמניה,GERMANY,3,NOT FINAL,לא סופי
SK,3156,SAS,2024-03-18T02:20:00,2024-03-18T02:20:00,A,BER,BERLIN BRANDENBURG INTL,ברלין,BERLIN,גרמניה,GERMANY,3,NOT FINAL,לא סופי
6H,892,ISRAIR AIRLINES,2024-03-18T02:25:00,2024-03-18T02:25:00,A,TBS,TBILISI,טביליסי,TBILISI,גיאורגיה,GEORGIA,3,NOT FINAL,לא סופי
LY,2524,EL AL ISRAEL AIRLINES,2024-03-18T02:45:00,2024-03-18T02:45:00,A,PRG,PRAGUE-RUZYNE,פראג,PRAGUE,צ'כיה,CZECH REPUBLIC,3,NOT FINAL,לא סופי
LY,352,EL AL ISRAEL AIRLINES,2024-03-18T02:10:00,2024-03-18T02:50:00,A,MUC,MUNICH,מינכן,MUNICH,גרמניה,GERMANY,3,DELAYED,עיכוב
SK,3178,SAS,2024-03-18T02:10:00,2024-03-18T02:50:00,A,MUC,MUNICH,מינכן,MUNICH,גרמניה,GERMANY,3,DELAYED,עיכוב
