CHOPER,CHFLTN,CHOPERD,CHSTOL,CHPTOL,CHAORD,CHLOC1,CHLOC1D,CHLOC1T,CHLOCCT,CHTERM,CHCINT,CHCKZN,CHRMINE
LY,9256,EL AL ISRAEL AIRLINES,2024-03-10 03:45:00,2024-03-10 03:45:00,A,WAW,WARSAW,WARSAW,POLAND,3,,,NOT FINAL
AM,7854,AERO MEXICO,2024-03-10 03:50:00,2024-03-10 03:50:00,A,CDG,PARIS-CHARLES DE GAULLE,PARIS,FRANCE,3,,,NOT FINAL
LY,326,EL AL ISRAEL AIRLINES,2024-03-10 03:50:00,2024-03-10 03:50:00,A,CDG,PARIS-CHARLES DE GAULLE,PARIS,FRANCE,3,,,NOT FINAL
SK,3158,SAS,2024-03-10 03:50:00,2024-03-10 03:50:00,A,CDG,PARIS-CHARLES DE GAULLE,PARIS,FRANCE,3,,,NOT FINAL
IB,2391,IBERIA,2024-03-10 04:00:00,2024-03-10 04:00:00,A,BCN,BARCELONA,BARCELONA,SPAIN,3,,,NOT FINAL
IZ,292,ARKIA  ISRAELI  AIRLINES,2024-03-10 04:00:00,2024-03-10 04:00:00,A,BUD,BUDAPEST,BUDAPEST,HUNGARY,3,,,NOT FINAL
LY,392,EL AL ISRAEL AIRLINES,2024-03-10 04:00:00,2024-03-10 04:00:00,A,BCN,BARCELONA,BARCELONA,SPAIN,3,,,NOT FINAL
IZ,284,ARKIA  ISRAELI  AIRLINES,2024-03-10 04:35:00,2024-03-10 04:35:00,A,PRG,PRAGUE-RUZYNE,PRAGUE,CZECH REPUBLIC,3,,,NOT FINAL
QS,1286,SMARTWINGS,2024-03-10 04:35:00,2024-03-10 04:35:00,A,PRG,PRAGUE-RUZYNE,PRAGUE,CZECH REPUBLIC,3,,,NOT FINAL
LY,088,EL AL ISRAEL AIRLINES,2024-03-10 04:35:00,2024-03-10 04:51:00,A,HKT,PHUKET,PHUKET,THAILAND,3,,,FINAL
AA,9267,AMERICAN AIRLINES,2024-03-10 05:05:00,2024-03-10 05:05:00,A,LHR,LONDON - HEATHROW,LONDON,UNITED KINGDOM,3,,,NOT FINAL
AM,7876,AERO MEXICO,2024-03-10 05:05:00,2024-03-10 05:05:00,A,LHR,LONDON - HEATHROW,LONDON,UNITED KINGDOM,3,,,NOT FINAL
BZ,251,BLUE BIRD AIRWAYS,2024-03-10 05:05:00,2024-03-10 05:05:00,A,BCN,BARCELONA,BARCELONA,SPAIN,3,,,NOT FINAL
LY,318,EL AL ISRAEL AIRLINES,2024-03-10 05:05:00,2024-03-10 05:05:00,A,LHR,LONDON - HEATHROW,LONDON,UNITED KINGDOM,3,,,NOT FINAL
SK,3174,SAS,2024-03-10 05:05:00,2024-03-10 05:05:00,A,LHR,LONDON - HEATHROW,LONDON,UNITED KINGDOM,3,,,NOT FINAL
A3,929,AEGEAN  AIRLINES,2024-03-10 05:15:00,2024-03-10 05:15:00,D,ATH,ATHENS,ATHENS,GREECE,3,25-28,A,ON TIME
B6,6453,JETBLUE AIRWAYS CORPORATION,2024-03-10 05:15:00,2024-03-10 05:15:00,D,JFK,NEW YORK - J.F.KENNEDY,NEW YORK,UNITED STATES,3,78-99,D,ON TIME
DL,7426,DELTA AIRLINES,2024-03-10 05:15:00,2024-03-10 05:15:00,D,JFK,NEW YORK - J.F.KENNEDY,NEW YORK,UNITED STATES,3,78-99,D,ON TIME
FB,1529,BULGARIA  AIR,2024-03-10 05:15:00,2024-03-10 05:15:00,D,ATH,ATHENS,ATHENS,GREECE,3,25-28,A,ON TIME
IZ,415,ARKIA  ISRAELI  AIRLINES,2024-03-10 05:15:00,2024-03-10 05:15:00,D,BUS,BATUMI,BATUMI,GEORGIA,3,34-38,B,ON TIME
JU,7623,AIR SERBIA,2024-03-10 05:15:00,2024-03-10 05:15:00,D,ATH,ATHENS,ATHENS,GREECE,3,25-28,A,ON TIME
LY,003,EL AL ISRAEL AIRLINES,2024-03-10 05:15:00,2024-03-10 05:15:00,D,JFK,NEW YORK - J.F.KENNEDY,NEW YORK,UNITED STATES,3,78-99,D,ON TIME
LO,152,LOT POLISH AIRLINES,2024-03-10 05:20:00,2024-03-10 05:20:00,D,WAW,WARSAW,WARSAW,POLAND,3,52-55,B,ON TIME
LY,9255,EL AL ISRAEL AIRLINES,2024-03-10 05:20:00,2024-03-10 05:20:00,D,WAW,WARSAW,WARSAW,POLAND,3,52-55,B,ON TIME
NH,5620,ALL NIPPON AIRWAYS,2024-03-10 05:20:00,2024-03-10 05:20:00,D,VIE,VIENNA,VIENNA,AUSTRIA,3,29-33,A,ON TIME
OS,860,AUSTRIAN AIRLINES,2024-03-10 05:20:00,2024-03-10 05:20:00,D,VIE,VIENNA,VIENNA,AUSTRIA,3,29-33,A,ON TIME
LY,311,EL AL ISRAEL AIRLINES,2024-03-10 05:30:00,2024-03-10 05:30:00,D,LTN,LUTON,LONDON LUTON,UNITED KINGDOM,3,78-99,D,ON TIME
LY,347,EL AL ISRAEL AIRLINES,2024-03-10 05:30:00,2024-03-10 05:30:00,D,ZRH,ZURICH,ZURICH,SWITZERLAND,3,78-99,D,ON TIME
SK,3189,SAS,2024-03-10 05:30:00,2024-03-10 05:30:00,D,ZRH,ZURICH,ZURICH,SWITZERLAND,3,78-99,D,ON TIME
AM,7864,AERO MEXICO,2024-03-10 05:35:00,2024-03-10 05:35:00,D,AMS,AMSTERDAM,AMSTERDAM,NETHERLANDS,3,78-99,D,ON TIME
LY,337,EL AL ISRAEL AIRLINES,2024-03-10 05:35:00,2024-03-10 05:35:00,D,AMS,AMSTERDAM,AMSTERDAM,NETHERLANDS,3,78-99,D,ON TIME
QS,1287,SMARTWINGS,2024-03-10 05:35:00,2024-03-10 05:35:00,D,PRG,PRAGUE-RUZYNE,PRAGUE,CZECH REPUBLIC,3,9-11,A,ON TIME
SK,3155,SAS,2024-03-10 05:35:00,2024-03-10 05:35:00,D,AMS,AMSTERDAM,AMSTERDAM,NETHERLANDS,3,78-99,D,ON TIME
LY,082,EL AL ISRAEL AIRLINES,2024-03-10 06:15:00,2024-03-10 05:40:00,A,BKK,BANGKOK INTL.-SUVARNABHUMI,BANGKOK,THAILAND,3,,,FINAL
QF,5021,QANTAS AIRWAYS,2024-03-10 06:15:00,2024-03-10 05:40:00,A,BKK,BANGKOK INTL.-SUVARNABHUMI,BANGKOK,THAILAND,3,,,FINAL
TG,5483,THAI AIRWAYS,2024-03-10 06:15:00,2024-03-10 05:40:00,A,BKK,BANGKOK INTL.-SUVARNABHUMI,BANGKOK,THAILAND,3,,,FINAL
VN,3299,VIETNAM AIRLINES,2024-03-10 06:15:00,2024-03-10 05:40:00,A,BKK,BANGKOK INTL.-SUVARNABHUMI,BANGKOK,THAILAND,3,,,FINAL
AA,9262,AMERICAN AIRLINES,2024-03-10 05:50:00,2024-03-10 05:50:00,D,CDG,PARIS-CHARLES DE GAULLE,PARIS,FRANCE,3,78-99,D,ON TIME
AM,7867,AERO MEXICO,2024-03-10 05:50:00,2024-03-10 05:50:00,D,CDG,PARIS-CHARLES DE GAULLE,PARIS,FRANCE,3,78-99,D,ON TIME
LY,319,EL AL ISRAEL AIRLINES,2024-03-10 05:50:00,2024-03-10 05:50:00,D,CDG,PARIS-CHARLES DE GAULLE,PARIS,FRANCE,3,78-99,D,ON TIME
SK,3161,SAS,2024-03-10 05:50:00,2024-03-10 05:50:00,D,CDG,PARIS-CHARLES DE GAULLE,PARIS,FRANCE,3,78-99,D,ON TIME
6H,051,ISRAIR AIRLINES,2024-03-10 05:55:00,2024-03-10 05:55:00,D,ETM,RAMON,RAMON,ISRAEL,3,G1-G6,G,ON TIME
IZ,771,ARKIA  ISRAELI  AIRLINES,2024-03-10 06:00:00,2024-03-10 06:00:00,D,GNB,GRENOBLE-SAUNT GEOIRS,GRENOBLE,FRANCE,3,38-42,B,ON TIME
IZ,775,ARKIA  ISRAELI  AIRLINES,2024-03-10 06:00:00,2024-03-10 06:00:00,D,LYS,LYON - SATOLAS,LYON,FRANCE,3,42-46,B,ON TIME
LY,2371,EL AL ISRAEL AIRLINES,2024-03-10 06:00:00,2024-03-10 06:00:00,D,BER,BERLIN BRANDENBURG INTL,BERLIN,GERMANY,3,78-99,D,ON TIME
LY,357,EL AL ISRAEL AIRLINES,2024-03-10 06:00:00,2024-03-10 06:00:00,D,FRA,FRANKFURT,FRANKFURT,GERMANY,3,78-99,D,ON TIME
SK,3157,SAS,2024-03-10 06:00:00,2024-03-10 06:00:00,D,BER,BERLIN BRANDENBURG INTL,BERLIN,GERMANY,3,78-99,D,ON TIME
SK,3165,SAS,2024-03-10 06:00:00,2024-03-10 06:00:00,D,FRA,FRANKFURT,FRANKFURT,GERMANY,3,78-99,D,ON TIME
LY,971,EL AL ISRAEL AIRLINES,2024-03-10 06:05:00,2024-03-10 06:05:00,D,DXB,DUBAI,DUBAI,UNITED ARAB EMIRATES,3,78-99,D,ON TIME
AR,7877,AEROLINEAS ARGENTINAS S.A.,2024-03-10 06:10:00,2024-03-10 06:10:00,D,FCO,ROME - FIUMICINO,ROME,ITALY,3,78-99,D,ON TIME
LY,345,EL AL ISRAEL AIRLINES,2024-03-10 06:10:00,2024-03-10 06:10:00,D,GVA,GENEVA,GENEVA,SWITZERLAND,3,78-99,D,ON TIME
LY,385,EL AL ISRAEL AIRLINES,2024-03-10 06:10:00,2024-03-10 06:10:00,D,FCO,ROME - FIUMICINO,ROME,ITALY,3,78-99,D,ON TIME
SK,3167,SAS,2024-03-10 06:10:00,2024-03-10 06:10:00,D,FCO,ROME - FIUMICINO,ROME,ITALY,3,78-99,D,ON TIME
TP,8898,AIR PORTUGAL,2024-03-10 06:10:00,2024-03-10 06:10:00,D,FCO,ROME - FIUMICINO,ROME,ITALY,3,78-99,D,ON TIME
AA,9265,AMERICAN AIRLINES,2024-03-10 06:15:00,2024-03-10 06:15:00,D,MAD,MADRID,MADRID,SPAIN,3,78-99,D,ON TIME
AM,7879,AERO MEXICO,2024-03-10 06:15:00,2024-03-10 06:15:00,D,MAD,MADRID,MADRID,SPAIN,3,78-99,D,ON TIME
AR,7871,AEROLINEAS ARGENTINAS S.A.,2024-03-10 06:15:00,2024-03-10 06:15:00,D,MAD,MADRID,MADRID,SPAIN,3,78-99,D,ON TIME
IB,2394,IBERIA,2024-03-10 06:15:00,2024-03-10 06:15:00,D,MAD,MADRID,MADRID,SPAIN,3,78-99,D,ON TIME
LY,395,EL AL ISRAEL AIRLINES,2024-03-10 06:15:00,2024-03-10 06:15:00,D,MAD,MADRID,MADRID,SPAIN,3,78-99,D,ON TIME
IB,2392,IBERIA,2024-03-10 06:30:00,2024-03-10 06:30:00,D,BCN,BARCELONA,BARCELONA,SPAIN,3,78-99,D,ON TIME
IZ,801,ARKIA  ISRAELI  AIRLINES,2024-03-10 06:30:00,2024-03-10 06:30:00,D,ETM,RAMON,RAMON,ISRAEL,3,G12-G18,G,ON TIME
LY,393,EL AL ISRAEL AIRLINES,2024-03-10 06:30:00,2024-03-10 06:30:00,D,BCN,BARCELONA,BARCELONA,SPAIN,3,78-99,D,ON TIME
LY,381,EL AL ISRAEL AIRLINES,2024-03-10 06:50:00,2024-03-10 06:50:00,D,MXP,MILAN-MALPENSA,MILAN,ITALY,3,78-99,D,ON TIME
LY,541,EL AL ISRAEL AIRLINES,2024-03-10 06:50:00,2024-03-10 06:50:00,D,ATH,ATHENS,ATHENS,GREECE,3,78-99,D,ON TIME
SK,3185,SAS,2024-03-10 06:50:00,2024-03-10 06:50:00,D,MXP,MILAN-MALPENSA,MILAN,ITALY,3,78-99,D,ON TIME
TP,8910,AIR PORTUGAL,2024-03-10 06:50:00,2024-03-10 06:50:00,D,MXP,MILAN-MALPENSA,MILAN,ITALY,3,78-99,D,ON TIME
BZ,442,BLUE BIRD AIRWAYS,2024-03-10 07:00:00,2024-03-10 07:00:00,D,BUD,BUDAPEST,BUDAPEST,HUNGARY,3,22-24,A,ON TIME
IZ,773,ARKIA  ISRAELI  AIRLINES,2024-03-10 07:00:00,2024-03-10 07:00:00,D,GNB,GRENOBLE-SAUNT GEOIRS,GRENOBLE,FRANCE,3,46-51,B,ON TIME
LY,573,EL AL ISRAEL AIRLINES,2024-03-10 07:00:00,2024-03-10 07:00:00,D,OTP,BUCHAREST - OTOPENI,BUCHAREST,ROMANIA,3,78-99,D,ON TIME
6H,883,ISRAIR AIRLINES,2024-03-10 07:00:00,2024-03-10 07:00:00,D,BUS,BATUMI,BATUMI,GEORGIA,3,17-20,A,ON TIME
LY,2365,EL AL ISRAEL AIRLINES,2024-03-10 07:05:00,2024-03-10 07:05:00,D,BUD,BUDAPEST,BUDAPEST,HUNGARY,3,78-99,D,ON TIME
LY,551,EL AL ISRAEL AIRLINES,2024-03-10 07:10:00,2024-03-10 07:10:00,D,SOF,SOFIA,SOFIA,BULGARIA,3,78-99,D,ON TIME
6H,661,ISRAIR AIRLINES,2024-03-10 07:20:00,2024-03-10 07:20:00,D,DXB,DUBAI,DUBAI,UNITED ARAB EMIRATES,3,12-15,A,ON TIME
LY,2521,EL AL ISRAEL AIRLINES,2024-03-10 07:25:00,2024-03-10 07:25:00,D,PRG,PRAGUE-RUZYNE,PRAGUE,CZECH REPUBLIC,3,78-99,D,ON TIME
6H,041,ISRAIR AIRLINES,2024-03-10 07:30:00,2024-03-10 07:30:00,D,ETM,RAMON,RAMON,ISRAEL,3,G1-G6,G,ON TIME
BZ,112,BLUE BIRD AIRWAYS,2024-03-10 08:00:00,2024-03-10 08:00:00,D,LCA,LARNACA,LARNACA,CYPRUS,3,25-27,A,ON TIME
IZ,551,ARKIA  ISRAELI  AIRLINES,2024-03-10 08:15:00,2024-03-10 08:15:00,D,RVN,ROVANIEMI,ROVANIEMI,FINLAND,3,34-38,B,ON TIME
W4,3257,WIZZ AIR MALTA,2024-03-10 08:30:00,2024-03-10 08:30:00,A,OTP,BUCHAREST - OTOPENI,BUCHAREST,ROMANIA,3,,,NOT FINAL
6H,052,ISRAIR AIRLINES,2024-03-10 08:30:00,2024-03-10 08:30:00,A,ETM,RAMON,RAMON,ISRAEL,3,,,NOT FINAL
LY,5141,EL AL ISRAEL AIRLINES,2024-03-10 08:35:00,2024-03-10 08:35:00,D,LCA,LARNACA,LARNACA,CYPRUS,3,78-99,D,ON TIME
IZ,802,ARKIA  ISRAELI  AIRLINES,2024-03-10 08:45:00,2024-03-10 08:45:00,A,ETM,RAMON,RAMON,ISRAEL,3,,,NOT FINAL
LY,341,EL AL ISRAEL AIRLINES,2024-03-10 08:45:00,2024-03-10 08:45:00,D,GVA,GENEVA,GENEVA,SWITZERLAND,3,78-99,D,ON TIME
EK,2369,EMIRATES,2024-03-10 08:55:00,2024-03-10 08:55:00,A,DXB,DUBAI,DUBAI,UNITED ARAB EMIRATES,3,,,NOT FINAL
FZ,1549,FLYDUBAI,2024-03-10 08:55:00,2024-03-10 08:55:00,A,DXB,DUBAI,DUBAI,UNITED ARAB EMIRATES,3,,,NOT FINAL
AM,7885,AERO MEXICO,2024-03-10 09:00:00,2024-03-10 09:00:00,D,CDG,PARIS-CHARLES DE GAULLE,PARIS,FRANCE,3,78-99,D,ON TIME
LY,323,EL AL ISRAEL AIRLINES,2024-03-10 09:00:00,2024-03-10 09:00:00,D,CDG,PARIS-CHARLES DE GAULLE,PARIS,FRANCE,3,78-99,D,ON TIME
SK,3163,SAS,2024-03-10 09:00:00,2024-03-10 09:00:00,D,CDG,PARIS-CHARLES DE GAULLE,PARIS,FRANCE,3,78-99,D,ON TIME
AA,9261,AMERICAN AIRLINES,2024-03-10 09:15:00,2024-03-10 09:15:00,D,LHR,LONDON - HEATHROW,LONDON,UNITED KINGDOM,3,78-99,D,ON TIME
AM,7863,AERO MEXICO,2024-03-10 09:15:00,2024-03-10 09:15:00,D,LHR,LONDON - HEATHROW,LONDON,UNITED KINGDOM,3,78-99,D,ON TIME
LY,315,EL AL ISRAEL AIRLINES,2024-03-10 09:15:00,2024-03-10 09:15:00,D,LHR,LONDON - HEATHROW,LONDON,UNITED KINGDOM,3,78-99,D,ON TIME
SK,3181,SAS,2024-03-10 09:15:00,2024-03-10 09:15:00,D,LHR,LONDON - HEATHROW,LONDON,UNITED KINGDOM,3,78-99,D,ON TIME
UA,084,UNITED AIRLINES,2024-03-10 09:20:00,2024-03-10 09:20:00,A,EWR,NEW YORK - NEWARK,NEWARK,UNITED STATES,3,,,NOT FINAL
W4,3258,WIZZ AIR MALTA,2024-03-10 09:25:00,2024-03-10 09:25:00,D,OTP,BUCHAREST - OTOPENI,BUCHAREST,ROMANIA,3,39-42,B,ON TIME
6H,141,ISRAIR AIRLINES,2024-03-10 09:25:00,2024-03-10 09:25:00,D,GNB,GRENOBLE-SAUNT GEOIRS,GRENOBLE,FRANCE,3,19-23,A,ON TIME
U8,103,TUS AIRWAYS,2024-03-10 09:30:00,2024-03-10 09:30:00,D,LCA,LARNACA,LARNACA,CYPRUS,3,28-31,A,ON TIME
IZ,807,ARKIA  ISRAELI  AIRLINES,2024-03-10 09:40:00,2024-03-10 09:40:00,D,ETM,RAMON,RAMON,ISRAEL,3,G12-G18,G,ON TIME
LY,545,EL AL ISRAEL AIRLINES,2024-03-10 09:45:00,2024-03-10 09:45:00,D,ATH,ATHENS,ATHENS,GREECE,3,78-99,D,ON TIME
6H,042,ISRAIR AIRLINES,2024-03-10 10:00:00,2024-03-10 10:00:00,A,ETM,RAMON,RAMON,ISRAEL,3,,,NOT FINAL
W6,2325,WIZZAIR,2024-03-10 10:05:00,2024-03-10 10:05:00,A,BUD,BUDAPEST,BUDAPEST,HUNGARY,3,,,NOT FINAL
EK,2370,EMIRATES,2024-03-10 10:10:00,2024-03-10 10:10:00,D,DXB,DUBAI,DUBAI,UNITED ARAB EMIRATES,3,49-55,B,ON TIME
FZ,1550,FLYDUBAI,2024-03-10 10:10:00,2024-03-10 10:10:00,D,DXB,DUBAI,DUBAI,UNITED ARAB EMIRATES,3,49-55,B,ON TIME
EK,2450,EMIRATES,2024-03-10 10:20:00,2024-03-10 10:20:00,A,DXB,DUBAI,DUBAI,UNITED ARAB EMIRATES,3,,,NOT FINAL
FZ,1081,FLYDUBAI,2024-03-10 10:20:00,2024-03-10 10:20:00,A,DXB,DUBAI,DUBAI,UNITED ARAB EMIRATES,3,,,NOT FINAL
IZ,414,ARKIA  ISRAELI  AIRLINES,2024-03-10 10:20:00,2024-03-10 10:20:00,A,BUS,BATUMI,BATUMI,GEORGIA,3,,,NOT FINAL
IZ,779,ARKIA  ISRAELI  AIRLINES,2024-03-10 10:35:00,2024-03-10 10:35:00,D,GNB,GRENOBLE-SAUNT GEOIRS,GRENOBLE,FRANCE,3,34-38,B,ON TIME
W6,2326,WIZZAIR,2024-03-10 10:55:00,2024-03-10 10:55:00,D,BUD,BUDAPEST,BUDAPEST,HUNGARY,3,42-45,B,ON TIME
W6,5097,WIZZAIR,2024-03-10 11:15:00,2024-03-10 11:15:00,A,KRK,KRAKOW,KRAKOW,POLAND,3,,,NOT FINAL
6H,725,ISRAIR AIRLINES,2024-03-10 11:15:00,2024-03-10 11:15:00,D,BUD,BUDAPEST,BUDAPEST,HUNGARY,3,24-27,A,ON TIME
BZ,701,BLUE BIRD AIRWAYS,2024-03-10 11:20:00,2024-03-10 11:20:00,A,ATH,ATHENS,ATHENS,GREECE,3,,,NOT FINAL
EY,593,ETIHAD AIRWAYS,2024-03-10 11:20:00,2024-03-10 11:20:00,A,AUH,ABU DHABI,ABU DHABI,UNITED ARAB EMIRATES,3,,,NOT FINAL
LY,9600,EL AL ISRAEL AIRLINES,2024-03-10 11:20:00,2024-03-10 11:20:00,A,AUH,ABU DHABI,ABU DHABI,UNITED ARAB EMIRATES,3,,,NOT FINAL
UA,085,UNITED AIRLINES,2024-03-10 11:30:00,2024-03-10 11:30:00,D,EWR,NEW YORK - NEWARK,NEWARK,UNITED STATES,3,12-18,A,ON TIME
BZ,111,BLUE BIRD AIRWAYS,2024-03-10 11:35:00,2024-03-10 11:35:00,A,LCA,LARNACA,LARNACA,CYPRUS,3,,,NOT FINAL
EK,2451,EMIRATES,2024-03-10 11:35:00,2024-03-10 11:35:00,D,DXB,DUBAI,DUBAI,UNITED ARAB EMIRATES,3,49-55,B,ON TIME
FZ,1082,FLYDUBAI,2024-03-10 11:35:00,2024-03-10 11:35:00,D,DXB,DUBAI,DUBAI,UNITED ARAB EMIRATES,3,49-55,B,ON TIME
EK,2363,EMIRATES,2024-03-10 11:40:00,2024-03-10 11:40:00,A,DXB,DUBAI,DUBAI,UNITED ARAB EMIRATES,3,,,NOT FINAL
FZ,1211,FLYDUBAI,2024-03-10 11:40:00,2024-03-10 11:40:00,A,DXB,DUBAI,DUBAI,UNITED ARAB EMIRATES,3,,,NOT FINAL
LY,5142,EL AL ISRAEL AIRLINES,2024-03-10 11:45:00,2024-03-10 11:45:00,A,LCA,LARNACA,LARNACA,CYPRUS,3,,,NOT FINAL
A3,926,AEGEAN  AIRLINES,2024-03-10 12:00:00,2024-03-10 12:00:00,A,ATH,ATHENS,ATHENS,GREECE,3,,,NOT FINAL
JU,7620,AIR SERBIA,2024-03-10 12:00:00,2024-03-10 12:00:00,A,ATH,ATHENS,ATHENS,GREECE,3,,,NOT FINAL
IZ,808,ARKIA  ISRAELI  AIRLINES,2024-03-10 12:05:00,2024-03-10 12:05:00,A,ETM,RAMON,RAMON,ISRAEL,3,,,NOT FINAL
LY,542,EL AL ISRAEL AIRLINES,2024-03-10 12:05:00,2024-03-10 12:05:00,A,ATH,ATHENS,ATHENS,GREECE,3,,,NOT FINAL
LY,973,EL AL ISRAEL AIRLINES,2024-03-10 12:10:00,2024-03-10 12:10:00,D,DXB,DUBAI,DUBAI,UNITED ARAB EMIRATES,3,78-99,D,ON TIME
W6,5098,WIZZAIR,2024-03-10 12:10:00,2024-03-10 12:10:00,D,KRK,KRAKOW,KRAKOW,POLAND,3,45-48,B,ON TIME
BZ,702,BLUE BIRD AIRWAYS,2024-03-10 12:15:00,2024-03-10 12:15:00,D,ATH,ATHENS,ATHENS,GREECE,3,28-30,A,ON TIME
BZ,252,BLUE BIRD AIRWAYS,2024-03-10 12:30:00,2024-03-10 12:30:00,D,BCN,BARCELONA,BARCELONA,SPAIN,3,31-33,A,ON TIME
IZ,211,ARKIA  ISRAELI  AIRLINES,2024-03-10 12:30:00,2024-03-10 12:30:00,D,ATH,ATHENS,ATHENS,GREECE,3,38-41,B,ON TIME
6H,884,ISRAIR AIRLINES,2024-03-10 12:45:00,2024-03-10 12:45:00,A,BUS,BATUMI,BATUMI,GEORGIA,3,,,NOT FINAL
A3,927,AEGEAN  AIRLINES,2024-03-10 12:50:00,2024-03-10 12:50:00,D,ATH,ATHENS,ATHENS,GREECE,3,34-37,B,ON TIME
EK,4978,EMIRATES,2024-03-10 12:50:00,2024-03-10 12:50:00,D,ATH,ATHENS,ATHENS,GREECE,3,34-37,B,ON TIME
FB,1514,BULGARIA  AIR,2024-03-10 12:50:00,2024-03-10 12:50:00,D,ATH,ATHENS,ATHENS,GREECE,3,34-37,B,ON TIME
JU,7621,AIR SERBIA,2024-03-10 12:50:00,2024-03-10 12:50:00,D,ATH,ATHENS,ATHENS,GREECE,3,34-37,B,ON TIME
EK,2364,EMIRATES,2024-03-10 12:55:00,2024-03-10 12:55:00,D,DXB,DUBAI,DUBAI,UNITED ARAB EMIRATES,3,49-55,B,ON TIME
FZ,1212,FLYDUBAI,2024-03-10 12:55:00,2024-03-10 12:55:00,D,DXB,DUBAI,DUBAI,UNITED ARAB EMIRATES,3,49-55,B,ON TIME
EY,594,ETIHAD AIRWAYS,2024-03-10 13:00:00,2024-03-10 13:00:00,D,AUH,ABU DHABI,ABU DHABI,UNITED ARAB EMIRATES,3,56-61,C,ON TIME
LY,9601,EL AL ISRAEL AIRLINES,2024-03-10 13:00:00,2024-03-10 13:00:00,D,AUH,ABU DHABI,ABU DHABI,UNITED ARAB EMIRATES,3,56-61,C,ON TIME
EK,2345,EMIRATES,2024-03-10 13:05:00,2024-03-10 13:05:00,A,DXB,DUBAI,DUBAI,UNITED ARAB EMIRATES,3,,,NOT FINAL
FZ,1125,FLYDUBAI,2024-03-10 13:05:00,2024-03-10 13:05:00,A,DXB,DUBAI,DUBAI,UNITED ARAB EMIRATES,3,,,NOT FINAL
LY,5107,EL AL ISRAEL AIRLINES,2024-03-10 13:05:00,2024-03-10 13:05:00,D,TBS,TBILISI,TBILISI,GEORGIA,3,78-99,D,ON TIME
A4,5025,AZIMUTH AIRLINES,2024-03-10 13:20:00,2024-03-10 13:20:00,A,AER,SOCHI,SOCHI,RUSSIAN FEDERATION,3,,,NOT FINAL
LY,552,EL AL ISRAEL AIRLINES,2024-03-10 13:25:00,2024-03-10 13:25:00,A,SOF,SOFIA,SOFIA,BULGARIA,3,,,NOT FINAL
IZ,815,ARKIA  ISRAELI  AIRLINES,2024-03-10 13:30:00,2024-03-10 13:30:00,D,ETM,RAMON,RAMON,ISRAEL,3,G12-G18,G,ON TIME
LY,574,EL AL ISRAEL AIRLINES,2024-03-10 13:35:00,2024-03-10 13:35:00,A,OTP,BUCHAREST - OTOPENI,BUCHAREST,ROMANIA,3,,,NOT FINAL
LY,375,EL AL ISRAEL AIRLINES,2024-03-10 13:40:00,2024-03-10 13:40:00,D,LIS,LISBON,LISBON,PORTUGAL,3,78-99,D,ON TIME
TP,8920,AIR PORTUGAL,2024-03-10 13:40:00,2024-03-10 13:40:00,D,LIS,LISBON,LISBON,PORTUGAL,3,78-99,D,ON TIME
6H,047,ISRAIR AIRLINES,2024-03-10 13:45:00,2024-03-10 13:45:00,D,ETM,RAMON,RAMON,ISRAEL,3,G1-G6,G,ON TIME
LY,612,EL AL ISRAEL AIRLINES,2024-03-10 13:50:00,2024-03-10 13:50:00,A,DME,MOSCOW-DOMODEDOVO,MOSCOW,RUSSIAN FEDERATION,3,,,NOT FINAL
S7,4483,SIBERIA AIRLINES,2024-03-10 13:50:00,2024-03-10 13:50:00,A,DME,MOSCOW-DOMODEDOVO,MOSCOW,RUSSIAN FEDERATION,3,,,NOT FINAL
WZ,011,RED WINGS AIRLINES,2024-03-10 14:00:00,2024-03-10 14:00:00,A,LED,ST. PETERSBURG,S.PETERSBURG,RUSSIAN FEDERATION,3,,,NOT FINAL
BZ,441,BLUE BIRD AIRWAYS,2024-03-10 14:15:00,2024-03-10 14:15:00,A,BUD,BUDAPEST,BUDAPEST,HUNGARY,3,,,NOT FINAL
AF,962,AIR FRANCE,2024-03-10 14:20:00,2024-03-10 14:20:00,A,CDG,PARIS-CHARLES DE GAULLE,PARIS,FRANCE,3,,,NOT FINAL
AZ,806,ITALIA TRASPORTO AEREO,2024-03-10 14:20:00,2024-03-10 14:20:00,A,FCO,ROME - FIUMICINO,ROME,ITALY,3,,,NOT FINAL
A4,5026,AZIMUTH AIRLINES,2024-03-10 14:20:00,2024-03-10 14:20:00,D,AER,SOCHI,SOCHI,RUSSIAN FEDERATION,3,63-65,C,ON TIME
DL,8457,DELTA AIRLINES,2024-03-10 14:20:00,2024-03-10 14:20:00,A,CDG,PARIS-CHARLES DE GAULLE,PARIS,FRANCE,3,,,NOT FINAL
EK,2346,EMIRATES,2024-03-10 14:20:00,2024-03-10 14:20:00,D,DXB,DUBAI,DUBAI,UNITED ARAB EMIRATES,3,50-55,B,ON TIME
FZ,1126,FLYDUBAI,2024-03-10 14:20:00,2024-03-10 14:20:00,D,DXB,DUBAI,DUBAI,UNITED ARAB EMIRATES,3,50-55,B,ON TIME
JU,7378,AIR SERBIA,2024-03-10 14:20:00,2024-03-10 14:20:00,A,FCO,ROME - FIUMICINO,ROME,ITALY,3,,,NOT FINAL
