Airline,FlightNum,PlanTime,ActualTime,Direction,Airport,City,Country,Terminal,Status
LY,376,2022-03-08 04:10:00,2022-03-08 03:58:00,A,LIS,LISBON,PORTUGAL,3,LANDED
TP,8913,2022-03-08 04:10:00,2022-03-08 03:58:00,A,LIS,LISBON,PORTUGAL,3,LANDED
OK,5288,2022-03-08 04:35:00,2022-03-08 04:11:00,A,PRG,PRAGUE,CZECH REPUBLIC,3,LANDED
QS,1286,2022-03-08 04:35:00,2022-03-08 04:11:00,A,PRG,PRAGUE,CZECH REPUBLIC,3,LANDED
6H,7768,2022-03-08 04:35:00,2022-03-08 04:11:00,A,PRG,PRAGUE,CZECH REPUBLIC,3,LANDED
AM,7878,2022-03-08 04:50:00,2022-03-08 04:49:00,A,MAD,MADRID,SPAIN,3,LANDED
AR,7870,2022-03-08 04:50:00,2022-03-08 04:49:00,A,MAD,MADRID,SPAIN,3,LANDED
IB,2397,2022-03-08 04:50:00,2022-03-08 04:49:00,A,MAD,MADRID,SPAIN,3,LANDED
LY,398,2022-03-08 04:50:00,2022-03-08 04:49:00,A,MAD,MADRID,SPAIN,3,LANDED
FX,5065,2022-03-08 05:40:00,2022-03-08 05:14:00,A,CGN,COLOGNE,GERMANY,3,LANDED
AZ,809,2022-03-08 05:15:00,2022-03-08 05:30:00,D,FCO,ROME,ITALY,3,DEPARTED
DL,6655,2022-03-08 05:15:00,2022-03-08 05:30:00,D,FCO,ROME,ITALY,3,DEPARTED
AF,8424,2022-03-08 05:15:00,2022-03-08 05:34:00,D,AMS,AMSTERDAM,NETHERLANDS,3,DEPARTED
DL,9690,2022-03-08 05:15:00,2022-03-08 05:34:00,D,AMS,AMSTERDAM,NETHERLANDS,3,DEPARTED
KL,462,2022-03-08 05:15:00,2022-03-08 05:34:00,D,AMS,AMSTERDAM,NETHERLANDS,3,DEPARTED
KQ,1462,2022-03-08 05:15:00,2022-03-08 05:34:00,D,AMS,AMSTERDAM,NETHERLANDS,3,DEPARTED
PC,786,2022-03-08 05:30:00,2022-03-08 05:36:00,D,SAW,ISTANBUL,TURKEY,3,DEPARTED
LH,691,2022-03-08 05:20:00,2022-03-08 05:38:00,D,FRA,FRANKFURT,GERMANY,3,DEPARTED
A3,929,2022-03-08 05:20:00,2022-03-08 05:40:00,D,ATH,ATHENS,GREECE,3,DEPARTED
IZ,298,2022-03-08 05:25:00,2022-03-08 05:45:00,A,IAS,IASI,ROMANIA,3,LANDED
LO,152,2022-03-08 05:20:00,2022-03-08 05:46:00,D,WAW,WARSAW,POLAND,3,DEPARTED
LY,554,2022-03-08 06:40:00,2022-03-08 05:57:00,A,RAK,MARRAKESH,MOROCCO,3,LANDED
6H,425,2022-03-08 06:00:00,2022-03-08 06:00:00,D,ETM,RAMON,ISRAEL,1,CANCELED
